issue_url,issue_created_at,issue_closed_at,open_duration_days
https://github.com/flutter/flutter/issues/20397,2018-08-09 23:30:03,2024-07-29 23:20:11,2180
https://github.com/flutter/flutter/issues/76850,2021-02-26 09:39:10,2024-07-11 11:53:58,1231
https://github.com/flutter/flutter/issues/61331,2020-07-12 18:55:04,2024-07-25 20:51:02,1474
https://github.com/flutter/flutter/issues/72545,2020-12-17 19:47:18,2024-07-11 18:34:40,1301
https://github.com/flutter/flutter/issues/22512,2018-10-01 13:34:25,2024-07-08 01:23:11,2106
https://github.com/flutter/flutter/issues/82016,2021-05-07 07:19:55,2024-07-03 06:06:34,1152
https://github.com/flutter/flutter/issues/84390,2021-06-10 22:29:55,2024-07-02 22:23:08,1117
https://github.com/flutter/flutter/issues/62192,2020-07-24 11:22:28,2024-06-27 22:45:27,1434
https://github.com/flutter/flutter/issues/78688,2021-03-20 12:10:25,2024-06-26 01:05:03,1193
https://github.com/flutter/flutter/issues/31918,2019-05-01 17:04:42,2024-06-20 19:44:48,1877
https://github.com/flutter/flutter/issues/22527,2018-10-01 20:53:16,2024-06-12 11:58:10,2080
https://github.com/flutter/flutter/issues/63500,2020-08-11 16:59:26,2024-05-24 07:54:15,1381
https://github.com/flutter/flutter/issues/48226,2020-01-06 04:26:14,2024-06-07 17:03:39,1614
https://github.com/flutter/flutter/issues/54385,2020-04-09 19:06:30,2024-06-05 18:56:04,1517
https://github.com/flutter/flutter/issues/71506,2020-12-01 21:10:41,2024-05-31 02:20:28,1276
https://github.com/flutter/flutter/issues/58765,2020-06-05 08:15:39,2024-05-29 18:24:17,1454
https://github.com/flutter/flutter/issues/82823,2021-05-18 15:52:04,2024-05-28 18:27:56,1106
https://github.com/flutter/flutter/issues/74819,2021-01-27 17:39:31,2024-03-01 11:40:54,1128
https://github.com/flutter/flutter/issues/41471,2019-09-27 13:08:45,2023-08-14 19:38:05,1417
https://github.com/flutter/flutter/issues/54511,2020-04-11 00:42:45,2024-05-17 11:08:42,1497
https://github.com/flutter/flutter/issues/67131,2020-10-02 13:49:45,2024-05-16 22:49:53,1322
https://github.com/flutter/flutter/issues/11004,2017-06-27 21:47:14,2024-05-13 20:11:55,2511
https://github.com/flutter/flutter/issues/25998,2019-01-03 04:15:31,2024-05-09 19:08:13,1953
https://github.com/flutter/flutter/issues/25151,2018-12-10 09:21:29,2024-05-08 18:45:01,1976
https://github.com/flutter/flutter/issues/53277,2020-03-25 17:20:39,2024-05-02 19:15:17,1499
https://github.com/flutter/flutter/issues/11332,2017-07-21 00:06:36,2024-05-02 19:15:39,2477
https://github.com/flutter/flutter/issues/71173,2020-11-24 21:17:08,2024-05-02 19:44:36,1254
https://github.com/flutter/flutter/issues/51975,2020-03-04 23:27:16,2024-05-02 19:44:46,1519
https://github.com/flutter/flutter/issues/26528,2019-01-14 14:56:17,2024-05-01 14:50:50,1933
https://github.com/flutter/flutter/issues/125819,2016-07-22 16:46:38,2024-04-30 15:36:12,2838
https://github.com/flutter/flutter/issues/21066,2018-08-27 16:24:18,2024-04-16 22:10:55,2059
https://github.com/flutter/flutter/issues/78443,2021-03-17 18:00:10,2024-04-15 19:20:12,1125
https://github.com/flutter/flutter/issues/75506,2021-02-05 14:57:57,2024-04-11 11:08:32,1160
https://github.com/flutter/flutter/issues/78472,2021-03-17 21:40:11,2024-04-09 10:25:49,1118
https://github.com/flutter/flutter/issues/60635,2020-06-30 20:00:47,2024-04-01 21:26:59,1371
https://github.com/flutter/flutter/issues/36126,2019-07-13 10:54:56,2024-03-28 20:01:56,1720
https://github.com/flutter/flutter/issues/40631,2019-09-16 22:45:29,2024-03-28 23:40:14,1655
https://github.com/flutter/flutter/issues/39132,2019-08-23 18:36:14,2024-03-27 11:21:24,1677
https://github.com/flutter/flutter/issues/51627,2020-02-28 10:07:28,2024-03-16 08:08:01,1477
https://github.com/flutter/flutter/issues/53179,2020-03-24 18:32:17,2024-03-14 22:08:02,1451
https://github.com/flutter/flutter/issues/13453,2017-12-08 18:07:46,2024-03-13 15:08:49,2286
https://github.com/flutter/flutter/issues/52759,2020-03-17 19:57:14,2024-03-08 08:55:03,1451
https://github.com/flutter/flutter/issues/67352,2020-10-05 21:13:35,2024-02-27 23:31:24,1240
https://github.com/flutter/flutter/issues/64808,2020-08-28 17:58:10,2024-02-12 19:14:12,1263
https://github.com/flutter/flutter/issues/35923,2019-07-10 21:46:27,2024-02-08 21:12:47,1673
https://github.com/flutter/flutter/issues/53069,2020-03-23 00:34:22,2024-02-08 21:16:11,1417
https://github.com/flutter/flutter/issues/55926,2020-04-29 03:00:54,2024-02-08 21:26:54,1380
https://github.com/flutter/flutter/issues/24176,2018-11-09 20:37:11,2024-02-08 20:34:58,1916
https://github.com/flutter/flutter/issues/40173,2019-09-10 19:41:09,2024-02-08 20:51:14,1612
https://github.com/flutter/flutter/issues/12080,2017-09-13 22:03:53,2024-02-08 11:08:12,2338
https://github.com/flutter/flutter/issues/52426,2020-03-11 17:50:03,2024-02-06 05:42:43,1426
https://github.com/flutter/flutter/issues/52425,2020-03-11 17:43:21,2024-02-06 05:42:42,1426
https://github.com/flutter/flutter/issues/74890,2021-01-28 11:30:57,2024-01-30 18:12:20,1097
https://github.com/flutter/flutter/issues/6886,2016-11-16 03:01:02,2024-01-22 18:36:17,2623
https://github.com/flutter/flutter/issues/41129,2019-09-23 18:53:31,2024-01-19 22:38:37,1579
https://github.com/flutter/flutter/issues/54566,2020-04-11 22:47:41,2024-01-10 19:30:46,1368
https://github.com/flutter/flutter/issues/43400,2019-10-24 04:03:06,2024-01-04 02:06:01,1532
https://github.com/flutter/flutter/issues/41920,2019-10-03 16:38:56,2023-12-20 19:14:27,1539
https://github.com/flutter/flutter/issues/30358,2019-04-02 07:08:57,2023-12-19 22:46:09,1722
https://github.com/flutter/flutter/issues/63768,2020-08-14 12:25:50,2023-12-12 22:09:23,1215
https://github.com/flutter/flutter/issues/52697,2020-03-16 22:38:52,2023-12-11 22:40:13,1365
https://github.com/flutter/flutter/issues/21682,2018-09-11 13:34:40,2023-12-07 23:50:02,1913
https://github.com/flutter/flutter/issues/65556,2020-09-10 16:17:05,2023-11-29 17:23:39,1175
https://github.com/flutter/flutter/issues/53707,2020-03-31 23:11:03,2023-11-29 08:41:29,1337
